"plant_id"	"Treatment"	"ACC_ID"	"Rep"	"plant_num"
"381"	"P_6930_9"	"P"	"6930"	9	381
"382"	"P_6930_10"	"P"	"6930"	10	382
"383"	"P_6930_11"	"P"	"6930"	11	383
"384"	"P_6931_1"	"P"	"6931"	1	384
"385"	"P_6931_2"	"P"	"6931"	2	385
"386"	"P_6931_3"	"P"	"6931"	3	386
"387"	"P_6931_4"	"P"	"6931"	4	387
"388"	"P_6931_5"	"P"	"6931"	5	388
"389"	"P_6931_6"	"P"	"6931"	6	389
"390"	"P_6931_7"	"P"	"6931"	7	390
"391"	"P_6931_8"	"P"	"6931"	8	391
"392"	"P_6931_9"	"P"	"6931"	9	392
"393"	"P_6931_10"	"P"	"6931"	10	393
"394"	"P_6932_1"	"P"	"6932"	1	394
"395"	"P_6932_2"	"P"	"6932"	2	395
"396"	"P_6932_3"	"P"	"6932"	3	396
"397"	"P_6932_4"	"P"	"6932"	4	397
"398"	"P_6932_5"	"P"	"6932"	5	398
"399"	"P_6932_6"	"P"	"6932"	6	399
"400"	"P_6936_1"	"P"	"6936"	1	400
"401"	"P_6936_2"	"P"	"6936"	2	401
"402"	"P_6936_3"	"P"	"6936"	3	402
"403"	"P_6936_4"	"P"	"6936"	4	403
"404"	"P_6936_5"	"P"	"6936"	5	404
"405"	"P_6936_6"	"P"	"6936"	6	405
"406"	"P_6936_7"	"P"	"6936"	7	406
"407"	"P_6937_1"	"P"	"6937"	1	407
"408"	"P_6937_2"	"P"	"6937"	2	408
"409"	"P_6937_3"	"P"	"6937"	3	409
"410"	"P_6937_4"	"P"	"6937"	4	410
"411"	"P_6937_5"	"P"	"6937"	5	411
"412"	"P_6937_6"	"P"	"6937"	6	412
"413"	"P_6937_7"	"P"	"6937"	7	413
"414"	"P_6937_8"	"P"	"6937"	8	414
"415"	"P_6938_1"	"P"	"6938"	1	415
"416"	"P_6938_2"	"P"	"6938"	2	416
"417"	"P_6938_3"	"P"	"6938"	3	417
"418"	"P_6938_4"	"P"	"6938"	4	418
"419"	"P_6938_5"	"P"	"6938"	5	419
"420"	"P_6938_6"	"P"	"6938"	6	420
"421"	"P_6938_7"	"P"	"6938"	7	421
"422"	"P_6938_8"	"P"	"6938"	8	422
"423"	"P_6938_9"	"P"	"6938"	9	423
"424"	"P_6938_10"	"P"	"6938"	10	424
"425"	"P_6939_1"	"P"	"6939"	1	425
"426"	"P_6939_2"	"P"	"6939"	2	426
"427"	"P_6939_3"	"P"	"6939"	3	427
"428"	"P_6939_4"	"P"	"6939"	4	428
"429"	"P_6939_5"	"P"	"6939"	5	429
"430"	"P_6939_6"	"P"	"6939"	6	430
"431"	"P_6939_7"	"P"	"6939"	7	431
"432"	"P_6939_8"	"P"	"6939"	8	432
"433"	"P_6940_1"	"P"	"6940"	1	433
"434"	"P_6940_2"	"P"	"6940"	2	434
"435"	"P_6940_3"	"P"	"6940"	3	435
"436"	"P_6940_4"	"P"	"6940"	4	436
"437"	"P_6940_5"	"P"	"6940"	5	437
"438"	"P_6940_6"	"P"	"6940"	6	438
"439"	"P_6940_7"	"P"	"6940"	7	439
"440"	"P_6942_1"	"P"	"6942"	1	440
"441"	"P_6942_2"	"P"	"6942"	2	441
"442"	"P_6942_3"	"P"	"6942"	3	442
"443"	"P_6942_4"	"P"	"6942"	4	443
"444"	"P_6942_5"	"P"	"6942"	5	444
"445"	"P_6943_1"	"P"	"6943"	1	445
"446"	"P_6943_2"	"P"	"6943"	2	446
"447"	"P_6943_3"	"P"	"6943"	3	447
"448"	"P_6943_4"	"P"	"6943"	4	448
"449"	"P_6943_5"	"P"	"6943"	5	449
"450"	"P_6943_6"	"P"	"6943"	6	450
"451"	"P_6943_7"	"P"	"6943"	7	451
"452"	"P_6943_8"	"P"	"6943"	8	452
"453"	"P_6944_1"	"P"	"6944"	1	453
"454"	"P_6944_2"	"P"	"6944"	2	454
"455"	"P_6944_3"	"P"	"6944"	3	455
"456"	"P_6944_4"	"P"	"6944"	4	456
"457"	"P_6944_5"	"P"	"6944"	5	457
"458"	"P_6944_6"	"P"	"6944"	6	458
"459"	"P_6944_7"	"P"	"6944"	7	459
"460"	"P_6944_8"	"P"	"6944"	8	460
"461"	"P_6944_9"	"P"	"6944"	9	461
"462"	"P_6945_1"	"P"	"6945"	1	462
"463"	"P_6945_2"	"P"	"6945"	2	463
"464"	"P_6945_3"	"P"	"6945"	3	464
"465"	"P_6945_4"	"P"	"6945"	4	465
"466"	"P_6945_5"	"P"	"6945"	5	466
"467"	"P_6946_1"	"P"	"6946"	1	467
"468"	"P_6946_2"	"P"	"6946"	2	468
"469"	"P_6946_3"	"P"	"6946"	3	469
"470"	"P_6946_4"	"P"	"6946"	4	470
"471"	"P_6946_5"	"P"	"6946"	5	471
"472"	"P_6946_6"	"P"	"6946"	6	472
"473"	"P_6946_7"	"P"	"6946"	7	473
"474"	"P_6946_8"	"P"	"6946"	8	474
"475"	"P_6946_9"	"P"	"6946"	9	475
"476"	"P_6946_10"	"P"	"6946"	10	476
"477"	"P_6946_11"	"P"	"6946"	11	477
"478"	"P_6951_1"	"P"	"6951"	1	478
"479"	"P_6951_2"	"P"	"6951"	2	479
"480"	"P_6951_3"	"P"	"6951"	3	480
"481"	"P_6951_4"	"P"	"6951"	4	481
"482"	"P_6951_5"	"P"	"6951"	5	482
"483"	"P_6951_6"	"P"	"6951"	6	483
"484"	"P_6951_7"	"P"	"6951"	7	484
"485"	"P_6951_8"	"P"	"6951"	8	485
"486"	"P_6951_9"	"P"	"6951"	9	486
"487"	"P_6956_1"	"P"	"6956"	1	487
"488"	"P_6956_2"	"P"	"6956"	2	488
"489"	"P_6956_3"	"P"	"6956"	3	489
"490"	"P_6956_4"	"P"	"6956"	4	490
"491"	"P_6956_5"	"P"	"6956"	5	491
"492"	"P_6958_1"	"P"	"6958"	1	492
"493"	"P_6958_2"	"P"	"6958"	2	493
"494"	"P_6958_3"	"P"	"6958"	3	494
"495"	"P_6958_4"	"P"	"6958"	4	495
"496"	"P_6958_5"	"P"	"6958"	5	496
"497"	"P_6958_6"	"P"	"6958"	6	497
"498"	"P_6958_7"	"P"	"6958"	7	498
"499"	"P_6959_1"	"P"	"6959"	1	499
"500"	"P_6959_2"	"P"	"6959"	2	500
"501"	"P_6959_3"	"P"	"6959"	3	501
"502"	"P_6959_4"	"P"	"6959"	4	502
"503"	"P_6959_5"	"P"	"6959"	5	503
"504"	"P_6959_6"	"P"	"6959"	6	504
"505"	"P_6960_1"	"P"	"6960"	1	505
"506"	"P_6960_2"	"P"	"6960"	2	506
"507"	"P_6960_3"	"P"	"6960"	3	507
"508"	"P_6960_4"	"P"	"6960"	4	508
"509"	"P_6960_5"	"P"	"6960"	5	509
"510"	"P_6960_6"	"P"	"6960"	6	510
"511"	"P_6960_7"	"P"	"6960"	7	511
"512"	"P_6960_8"	"P"	"6960"	8	512
"513"	"P_6960_9"	"P"	"6960"	9	513
"514"	"P_6960_10"	"P"	"6960"	10	514
"515"	"P_6960_11"	"P"	"6960"	11	515
"516"	"P_6961_1"	"P"	"6961"	1	516
"517"	"P_6961_2"	"P"	"6961"	2	517
"518"	"P_6961_3"	"P"	"6961"	3	518
"519"	"P_6961_4"	"P"	"6961"	4	519
"520"	"P_6961_5"	"P"	"6961"	5	520
"521"	"P_6961_6"	"P"	"6961"	6	521
"522"	"P_6961_7"	"P"	"6961"	7	522
"523"	"P_6961_8"	"P"	"6961"	8	523
"524"	"P_6961_9"	"P"	"6961"	9	524
"525"	"P_6961_10"	"P"	"6961"	10	525
"526"	"P_6961_11"	"P"	"6961"	11	526
"527"	"P_6962_1"	"P"	"6962"	1	527
"528"	"P_6962_2"	"P"	"6962"	2	528
"529"	"P_6962_3"	"P"	"6962"	3	529
"530"	"P_6962_4"	"P"	"6962"	4	530
"531"	"P_6962_5"	"P"	"6962"	5	531
"532"	"P_6962_6"	"P"	"6962"	6	532
"533"	"P_6962_7"	"P"	"6962"	7	533
"534"	"P_6962_8"	"P"	"6962"	8	534
"535"	"P_6963_1"	"P"	"6963"	1	535
"536"	"P_6963_2"	"P"	"6963"	2	536
"537"	"P_6963_3"	"P"	"6963"	3	537
"538"	"P_6963_4"	"P"	"6963"	4	538
